1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.6518,4.2862,13.225,3.4454,6.389,10.974,3.1102,9.3031,4.261,16.825,86.345,25.094,59.193,0.20596,28.451,2.4144,0.047951,17.085,598.95,1.5451,2.7455,8.9493,3.3306,10.081,8.4597,11.274,11.546,5.6831,7.6167,19.66,16.064,7.0515,17.805,4.6254,13.419,4.154,0.53479,9.7131,1.5889
