1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100
11.132,14.398,19.881,6.5749,11.259,19.666,15.883,18.272,7.0599,78.652,92.271,249.61,363.73,1.1658,36.959,0.042535,0.024004,8.3355,2.3483,0.022599,0.19334
