1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100
3.8345,14.518,5.1424,13.211,12.224,3.0584,17.093,18.819,3.9057,98.694,23.472,410.59,50.418,1327.5,0.0026268,0.0029133,3.2704,1.1377,0.99608,0.00032231,945.19
