1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100
16.259,18.068,17.952,13.118,17.05,9.0644,17.65,17.574,15.581,48.263,95.927,1.2638,62.133,6.6344,0.00053102,0.085258,41.939,0.1595,0.14035,0.55554,0.00049352
