1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,1,1,1,1
0.20748,9.9155,2.8422,8.3702,1.6812,3.3355,19.019,13.982,17.96,54.784,38.648,397.16,3343.5,7359.9,1.4746,15.715,5844.8,0.008809,1779.2,0.059596,7.6613,9.5595,17.408,13.753,18.504,12.942,9.234,0.77142,15.891,2.7748
