9.689943790435791016e-01,3.482368469238281250e+02,4.010360717773437500e+00,1.886464309692382812e+01,5.462531089782714844e+00,5.097042560577392578e+00,6.782477569580078125e+01,9.233550071716308594e+00,3.946979284286499023e+00,3.351317443847656250e+02,2.556037902832031250e-01,3.827335510253906250e+02
1.133913993835449219e+00,3.507512817382812500e+02,4.937553882598876953e+00,2.375753326416015625e+02,5.110534667968750000e+00,5.257756710052490234e+00,6.474728393554687500e+01,7.726251602172851562e+00,8.356375992298126221e-02,2.398332595825195312e+01,3.305293023586273193e-01,2.051189804077148438e+01
1.273615241050720215e+00,3.203560485839843750e+02,4.678359985351562500e+00,8.120442962646484375e+01,7.382308483123779297e+00,4.730837821960449219e+00,4.915186691284179688e+01,9.078422546386718750e+00,3.020946264266967773e+00,3.824390769004821777e-01,3.229488730430603027e-01,1.529864692687988281e+01
1.024701595306396484e+00,4.634107055664062500e+02,5.160142898559570312e+00,1.106456089019775391e+01,6.235053539276123047e+00,5.424286365509033203e+00,7.023553466796875000e+01,8.886886596679687500e+00,4.068945944309234619e-01,2.757527542114257812e+01,2.606964111328125000e-01,2.230613555908203125e+02
1.121984124183654785e+00,4.444067382812500000e+02,5.339587211608886719e+00,2.489759635925292969e+01,5.670593738555908203e+00,4.237413883209228516e+00,4.843305206298828125e+01,4.821896743774414062e+01,5.833167955279350281e-02,3.686434936523437500e+01,4.312225580215454102e-01,1.017550182342529297e+01
9.930340051651000977e-01,4.822818908691406250e+02,4.870733737945556641e+00,2.596274375915527344e+01,5.768476009368896484e+00,5.311320781707763672e+00,7.219675445556640625e+01,1.070772266387939453e+01,2.582589983940124512e-01,1.627126312255859375e+01,2.988833785057067871e-01,1.259846591949462891e+01
8.802229762077331543e-01,5.497850341796875000e+02,5.962457656860351562e+00,3.227979898452758789e+00,4.309226512908935547e+00,4.665956020355224609e+00,6.982370758056640625e+01,1.500741291046142578e+01,1.570245170593261719e+01,8.031008720397949219e+00,3.061753511428833008e-01,4.773014450073242188e+01
1.067038774490356445e+00,4.454813842773437500e+02,5.418525695800781250e+00,2.604040336608886719e+01,5.200428485870361328e+00,5.874883174896240234e+00,7.854440307617187500e+01,4.684995174407958984e+00,3.550779223442077637e-01,9.062758636474609375e+01,2.985793352127075195e-01,2.887311172485351562e+01
1.061405181884765625e+00,5.104747009277343750e+02,5.654501914978027344e+00,6.574818134307861328e+00,6.030008316040039062e+00,4.718646049499511719e+00,6.514454650878906250e+01,2.955848693847656250e+01,3.129960536956787109e+00,3.715688323974609375e+01,2.830596864223480225e-01,1.270401763916015625e+02
1.100560426712036133e+00,4.226149902343750000e+02,5.119830131530761719e+00,1.117477035522460938e+01,5.001817226409912109e+00,5.386065483093261719e+00,7.282524108886718750e+01,1.939559364318847656e+01,2.276382297277450562e-01,3.862355041503906250e+01,3.551611900329589844e-01,1.072772312164306641e+01
